"date","new_cases","hosp_patients","icu_patients","location"
"13-10-2020",55342,NULL,NULL,"India"
"14-10-2020",63509,NULL,NULL,"India"
"15-10-2020",67708,NULL,NULL,"India"
"16-10-2020",63371,NULL,NULL,"India"
"17-10-2020",62212,NULL,NULL,"India"
"18-10-2020",61871,NULL,NULL,"India"
"19-10-2020",55722,NULL,NULL,"India"
"20-10-2020",46790,NULL,NULL,"India"
"21-10-2020",54044,NULL,NULL,"India"
"22-10-2020",55839,NULL,NULL,"India"
"23-10-2020",54366,NULL,NULL,"India"
"24-10-2020",53370,NULL,NULL,"India"
"25-10-2020",50129,NULL,NULL,"India"
"26-10-2020",45148,NULL,NULL,"India"
"05-06-2023",NULL,NULL,NULL,"India"
"27-10-2020",36470,NULL,NULL,"India"
"28-10-2020",43893,NULL,NULL,"India"
"29-10-2020",49881,NULL,NULL,"India"
"30-10-2020",48648,NULL,NULL,"India"
"31-10-2020",48268,NULL,NULL,"India"
"11-01-2020",46963,NULL,NULL,"India"
"11-02-2020",45231,NULL,NULL,"India"
"11-03-2020",38310,NULL,NULL,"India"
"11-04-2020",46253,NULL,NULL,"India"
"11-05-2020",50210,NULL,NULL,"India"
"11-06-2020",47638,NULL,NULL,"India"
"11-07-2020",50356,NULL,NULL,"India"
"11-08-2020",45674,NULL,NULL,"India"
"11-09-2020",45903,NULL,NULL,"India"
"11-10-2020",38073,NULL,NULL,"India"
"11-11-2020",44281,NULL,NULL,"India"
"11-12-2020",47905,NULL,NULL,"India"
"13-11-2020",44879,NULL,NULL,"India"
"14-11-2020",44684,NULL,NULL,"India"
"15-11-2020",41100,NULL,NULL,"India"
"16-11-2020",30548,NULL,NULL,"India"
"17-11-2020",29163,NULL,NULL,"India"
"18-11-2020",38617,NULL,NULL,"India"
"19-11-2020",45576,NULL,NULL,"India"
"20-11-2020",45882,NULL,NULL,"India"
"21-11-2020",46232,NULL,NULL,"India"
"22-11-2020",45209,NULL,NULL,"India"
"23-11-2020",44059,NULL,NULL,"India"
"24-11-2020",37975,NULL,NULL,"India"
"25-11-2020",44376,NULL,NULL,"India"
"26-11-2020",44489,NULL,NULL,"India"
"27-11-2020",43082,NULL,NULL,"India"
"28-11-2020",41322,NULL,NULL,"India"
"29-11-2020",41810,NULL,NULL,"India"
"30-11-2020",38772,NULL,NULL,"India"
"12-01-2020",31118,NULL,NULL,"India"
"12-02-2020",36604,NULL,NULL,"India"
"12-03-2020",35551,NULL,NULL,"India"
"12-04-2020",36595,NULL,NULL,"India"
"12-05-2020",36652,NULL,NULL,"India"
"12-06-2020",36011,NULL,NULL,"India"
"12-07-2020",32981,NULL,NULL,"India"
"12-08-2020",26567,NULL,NULL,"India"
"12-09-2020",32080,NULL,NULL,"India"
"12-10-2020",31521,NULL,NULL,"India"
"12-11-2020",29398,NULL,NULL,"India"
"12-12-2020",30006,NULL,NULL,"India"
"13-12-2020",30254,NULL,NULL,"India"
"14-12-2020",27071,NULL,NULL,"India"
"15-12-2020",22065,NULL,NULL,"India"
"16-12-2020",26382,NULL,NULL,"India"
"17-12-2020",24010,NULL,NULL,"India"
"18-12-2020",22890,NULL,NULL,"India"
"19-12-2020",25152,NULL,NULL,"India"
"20-12-2020",26624,NULL,NULL,"India"
"21-12-2020",24337,NULL,NULL,"India"
"22-12-2020",19556,NULL,NULL,"India"
"23-12-2020",23950,NULL,NULL,"India"
"24-12-2020",24712,NULL,NULL,"India"
"25-12-2020",23067,NULL,NULL,"India"
"26-12-2020",22273,NULL,NULL,"India"
"27-12-2020",18732,NULL,NULL,"India"
"28-12-2020",20021,NULL,NULL,"India"
"29-12-2020",16432,NULL,NULL,"India"
"30-12-2020",20549,NULL,NULL,"India"
"05-07-2023",NULL,NULL,NULL,"India"
"31-12-2020",21822,NULL,NULL,"India"
"01-01-2021",20035,NULL,NULL,"India"
"01-02-2021",19079,NULL,NULL,"India"
"01-03-2021",18177,NULL,NULL,"India"
"01-04-2021",16504,NULL,NULL,"India"
"01-05-2021",16375,NULL,NULL,"India"
"01-06-2021",18088,NULL,NULL,"India"
"01-07-2021",20346,NULL,NULL,"India"
"01-08-2021",18139,NULL,NULL,"India"
"01-09-2021",18222,NULL,NULL,"India"
"01-10-2021",18645,NULL,NULL,"India"
"01-11-2021",16311,NULL,NULL,"India"
"01-12-2021",12584,NULL,NULL,"India"
"13-01-2021",15968,NULL,NULL,"India"
"14-01-2021",16946,NULL,NULL,"India"
"15-01-2021",15590,NULL,NULL,"India"
"16-01-2021",15158,NULL,NULL,"India"
"17-01-2021",15144,NULL,NULL,"India"
"18-01-2021",13788,NULL,NULL,"India"
"19-01-2021",10064,NULL,NULL,"India"
"20-01-2021",13823,NULL,NULL,"India"
"21-01-2021",15223,NULL,NULL,"India"
"22-01-2021",14545,NULL,NULL,"India"
"23-01-2021",14256,NULL,NULL,"India"
"24-01-2021",14849,NULL,NULL,"India"
"25-01-2021",13203,NULL,NULL,"India"
"26-01-2021",9102,NULL,NULL,"India"
"27-01-2021",12689,NULL,NULL,"India"
"28-01-2021",11666,NULL,NULL,"India"
"29-01-2021",18855,NULL,NULL,"India"
"30-01-2021",13083,NULL,NULL,"India"
"31-01-2021",13052,NULL,NULL,"India"
"02-01-2021",11427,NULL,NULL,"India"
"02-02-2021",8635,NULL,NULL,"India"
"02-03-2021",11039,NULL,NULL,"India"
"02-04-2021",12899,NULL,NULL,"India"
"02-05-2021",12408,NULL,NULL,"India"
"02-06-2021",11713,NULL,NULL,"India"
"02-07-2021",12059,NULL,NULL,"India"
"02-08-2021",11831,NULL,NULL,"India"
"02-09-2021",9110,NULL,NULL,"India"
"02-10-2021",11067,NULL,NULL,"India"
"02-11-2021",12923,NULL,NULL,"India"
"02-12-2021",9309,NULL,NULL,"India"
